Using hybrid two-pass approach
APSC: Starting from 1850 to 198
Collapsed to 1849 vertices (cost: 0)
Collapsed to 1848 vertices (cost: 0)
Collapsed to 1847 vertices (cost: 0)
Collapsed to 1846 vertices (cost: 0)
Collapsed to 1845 vertices (cost: 0)
Collapsed to 1844 vertices (cost: 0)
Collapsed to 1843 vertices (cost: 0)
Collapsed to 1842 vertices (cost: 0)
Collapsed to 1841 vertices (cost: 0)
Collapsed to 1840 vertices (cost: 0)
Collapsed to 1839 vertices (cost: 5.26316)
Collapsed to 1838 vertices (cost: 3.26382e-05)
Collapsed to 1837 vertices (cost: 6.66667)
Collapsed to 1836 vertices (cost: 7.69231)
Collapsed to 1835 vertices (cost: 6.07022e-05)
Collapsed to 1834 vertices (cost: 8)
Collapsed to 1833 vertices (cost: 10.5263)
Collapsed to 1832 vertices (cost: 11.7647)
Collapsed to 1831 vertices (cost: 7.44091e-05)
Collapsed to 1830 vertices (cost: 11.7647)
Collapsed to 1829 vertices (cost: 12.5)
Collapsed to 1828 vertices (cost: 18.1818)
Collapsed to 1827 vertices (cost: 18.1818)
Collapsed to 1826 vertices (cost: 18.1818)
Collapsed to 1825 vertices (cost: 18.75)
Collapsed to 1824 vertices (cost: 20)
Collapsed to 1823 vertices (cost: 20)
Collapsed to 1822 vertices (cost: 20)
Collapsed to 1821 vertices (cost: 21.4286)
Collapsed to 1820 vertices (cost: 3.19311e-08)
Collapsed to 1819 vertices (cost: 25)
Collapsed to 1818 vertices (cost: 25)
Collapsed to 1817 vertices (cost: 25)
Collapsed to 1816 vertices (cost: 25)
Collapsed to 1815 vertices (cost: 25.8065)
Collapsed to 1814 vertices (cost: 26.6667)
Collapsed to 1813 vertices (cost: 3.18357e-06)
Collapsed to 1812 vertices (cost: 28.5714)
Collapsed to 1811 vertices (cost: 8.44192e-05)
Collapsed to 1810 vertices (cost: 30)
Collapsed to 1809 vertices (cost: 33.3333)
Collapsed to 1808 vertices (cost: 23.8094)
Collapsed to 1807 vertices (cost: 33.3333)
Collapsed to 1806 vertices (cost: 33.8028)
Collapsed to 1805 vertices (cost: 35)
Collapsed to 1804 vertices (cost: 35.2941)
Collapsed to 1803 vertices (cost: 35.4839)
Collapsed to 1802 vertices (cost: 36.8421)
Collapsed to 1801 vertices (cost: 37.5)
Collapsed to 1800 vertices (cost: 37.5)
Collapsed to 1799 vertices (cost: 38.0952)
Collapsed to 1798 vertices (cost: 38.8889)
Collapsed to 1797 vertices (cost: 39.1304)
Collapsed to 1796 vertices (cost: 40)
Collapsed to 1795 vertices (cost: 40)
Collapsed to 1794 vertices (cost: 40)
Collapsed to 1793 vertices (cost: 40)
Collapsed to 1792 vertices (cost: 40)
Collapsed to 1791 vertices (cost: 40)
Collapsed to 1790 vertices (cost: 40)
Collapsed to 1789 vertices (cost: 40.9091)
Collapsed to 1788 vertices (cost: 42.8571)
Collapsed to 1787 vertices (cost: 42.8571)
Collapsed to 1786 vertices (cost: 42.8571)
Collapsed to 1785 vertices (cost: 46.1538)
Collapsed to 1784 vertices (cost: 46.6667)
Collapsed to 1783 vertices (cost: 47.3684)
Collapsed to 1782 vertices (cost: 7.35941e-05)
Collapsed to 1781 vertices (cost: 0.00063024)
Collapsed to 1780 vertices (cost: 47.3684)
Collapsed to 1779 vertices (cost: 50)
Collapsed to 1778 vertices (cost: 50)
Collapsed to 1777 vertices (cost: 50)
Collapsed to 1776 vertices (cost: 50)
Collapsed to 1775 vertices (cost: 50)
Collapsed to 1774 vertices (cost: 50)
Collapsed to 1773 vertices (cost: 50.0004)
Collapsed to 1772 vertices (cost: 3.02993e-05)
Collapsed to 1771 vertices (cost: 53.3333)
Collapsed to 1770 vertices (cost: 53.3333)
Collapsed to 1769 vertices (cost: 3.75398e-05)
Collapsed to 1768 vertices (cost: 53.8462)
Collapsed to 1767 vertices (cost: 56.4784)
Collapsed to 1766 vertices (cost: 57.8947)
Collapsed to 1765 vertices (cost: 58.8235)
Collapsed to 1764 vertices (cost: 59.375)
Collapsed to 1763 vertices (cost: 60)
Collapsed to 1762 vertices (cost: 44.4444)
Collapsed to 1761 vertices (cost: 60)
Collapsed to 1760 vertices (cost: 56.25)
Collapsed to 1759 vertices (cost: 60)
Collapsed to 1758 vertices (cost: 60.3448)
Collapsed to 1757 vertices (cost: 61.5385)
Collapsed to 1756 vertices (cost: 62.4999)
