Using hybrid two-pass approach
APSC: Starting from 1860 to 198
Collapsed to 1859 vertices (cost: 4.05712e-05)
Collapsed to 1858 vertices (cost: 7.56785e-05)
Collapsed to 1857 vertices (cost: 8.1475e-05)
Collapsed to 1856 vertices (cost: 9.87643e-05)
Collapsed to 1855 vertices (cost: 0.000317793)
Collapsed to 1854 vertices (cost: 0.0006807)
Collapsed to 1853 vertices (cost: 0.00182396)
Collapsed to 1852 vertices (cost: 0.0019755)
Collapsed to 1851 vertices (cost: 0.00241223)
Collapsed to 1850 vertices (cost: 0.00487303)
Collapsed to 1849 vertices (cost: 0.00757203)
Collapsed to 1848 vertices (cost: 0.0154993)
Collapsed to 1847 vertices (cost: 0.021379)
Collapsed to 1846 vertices (cost: 0.0490985)
Collapsed to 1845 vertices (cost: 0.0616146)
Collapsed to 1844 vertices (cost: 0.109773)
Collapsed to 1843 vertices (cost: 0.113054)
Collapsed to 1842 vertices (cost: 0.141876)
Collapsed to 1841 vertices (cost: 0.15102)
Collapsed to 1840 vertices (cost: 0.222386)
Collapsed to 1839 vertices (cost: 0.256787)
Collapsed to 1838 vertices (cost: 0.28018)
Collapsed to 1837 vertices (cost: 0.311485)
Collapsed to 1836 vertices (cost: 0.315654)
Collapsed to 1835 vertices (cost: 0.358895)
Collapsed to 1834 vertices (cost: 0.397725)
Collapsed to 1833 vertices (cost: 0.469166)
Collapsed to 1832 vertices (cost: 0.53957)
Collapsed to 1831 vertices (cost: 0.560144)
Collapsed to 1830 vertices (cost: 0.571755)
Collapsed to 1829 vertices (cost: 0.677744)
Collapsed to 1828 vertices (cost: 0.688176)
Collapsed to 1827 vertices (cost: 0.891502)
Collapsed to 1826 vertices (cost: 1.11493)
Collapsed to 1825 vertices (cost: 1.25971)
Collapsed to 1824 vertices (cost: 1.40997)
Collapsed to 1823 vertices (cost: 0.000137908)
Collapsed to 1822 vertices (cost: 1.50124)
Collapsed to 1821 vertices (cost: 1.57995)
Collapsed to 1820 vertices (cost: 1.66201)
Collapsed to 1819 vertices (cost: 1.86071)
Collapsed to 1818 vertices (cost: 1.89335)
Collapsed to 1817 vertices (cost: 1.92428)
Collapsed to 1816 vertices (cost: 2.03512)
Collapsed to 1815 vertices (cost: 2.19685)
Collapsed to 1814 vertices (cost: 2.27463)
Collapsed to 1813 vertices (cost: 2.27834)
Collapsed to 1812 vertices (cost: 2.30117)
Collapsed to 1811 vertices (cost: 2.33802)
Collapsed to 1810 vertices (cost: 2.46121)
Collapsed to 1809 vertices (cost: 2.49224)
Collapsed to 1808 vertices (cost: 2.75325)
Collapsed to 1807 vertices (cost: 2.82526)
Collapsed to 1806 vertices (cost: 2.97774)
Collapsed to 1805 vertices (cost: 3.05784)
Collapsed to 1804 vertices (cost: 3.15554)
Collapsed to 1803 vertices (cost: 3.18962)
Collapsed to 1802 vertices (cost: 3.29842)
Collapsed to 1801 vertices (cost: 3.32405)
