Using hybrid two-pass approach
APSC: Starting from 1500 to 198
Collapsed to 1499 vertices (cost: 0)
Collapsed to 1498 vertices (cost: 0)
Collapsed to 1497 vertices (cost: 0)
Collapsed to 1496 vertices (cost: 0)
Collapsed to 1495 vertices (cost: 0)
Collapsed to 1494 vertices (cost: 0)
Collapsed to 1493 vertices (cost: 0)
Collapsed to 1492 vertices (cost: 0)
Collapsed to 1491 vertices (cost: 0)
Collapsed to 1490 vertices (cost: 0)
Collapsed to 1489 vertices (cost: 0)
Collapsed to 1488 vertices (cost: 0)
Collapsed to 1487 vertices (cost: 0)
Collapsed to 1486 vertices (cost: 0)
Collapsed to 1485 vertices (cost: 0)
Collapsed to 1484 vertices (cost: 0)
Collapsed to 1483 vertices (cost: 0)
Collapsed to 1482 vertices (cost: 0)
Collapsed to 1481 vertices (cost: 0)
Collapsed to 1480 vertices (cost: 0)
Collapsed to 1479 vertices (cost: 0)
Collapsed to 1478 vertices (cost: 0)
Collapsed to 1477 vertices (cost: 0)
Collapsed to 1476 vertices (cost: 0)
Collapsed to 1475 vertices (cost: 0)
Collapsed to 1474 vertices (cost: 0)
Collapsed to 1473 vertices (cost: 0)
Collapsed to 1472 vertices (cost: 0)
Collapsed to 1471 vertices (cost: 0)
Collapsed to 1470 vertices (cost: 0)
Collapsed to 1469 vertices (cost: 0)
Collapsed to 1468 vertices (cost: 0)
Collapsed to 1467 vertices (cost: 0)
Collapsed to 1466 vertices (cost: 0)
Collapsed to 1465 vertices (cost: 0)
Collapsed to 1464 vertices (cost: 0)
Collapsed to 1463 vertices (cost: 0)
Collapsed to 1462 vertices (cost: 0)
Collapsed to 1461 vertices (cost: 0)
Collapsed to 1460 vertices (cost: 0)
Collapsed to 1459 vertices (cost: 0)
Collapsed to 1458 vertices (cost: 0)
Collapsed to 1457 vertices (cost: 0)
Collapsed to 1456 vertices (cost: 0)
Collapsed to 1455 vertices (cost: 0)
Collapsed to 1454 vertices (cost: 0)
Collapsed to 1453 vertices (cost: 0)
Collapsed to 1452 vertices (cost: 0)
Collapsed to 1451 vertices (cost: 14.2857)
Collapsed to 1450 vertices (cost: 16.6667)
Collapsed to 1449 vertices (cost: 2.81492e-05)
Collapsed to 1448 vertices (cost: 2.81547e-05)
Collapsed to 1447 vertices (cost: 16.6667)
Collapsed to 1446 vertices (cost: 16.6667)
Collapsed to 1445 vertices (cost: 20)
Collapsed to 1444 vertices (cost: 11.1111)
Collapsed to 1443 vertices (cost: 20)
Collapsed to 1442 vertices (cost: 20)
Collapsed to 1441 vertices (cost: 20)
Collapsed to 1440 vertices (cost: 20)
Collapsed to 1439 vertices (cost: 20)
Collapsed to 1438 vertices (cost: 15.3846)
Collapsed to 1437 vertices (cost: 2.30838e-05)
Collapsed to 1436 vertices (cost: 23.5294)
Collapsed to 1435 vertices (cost: 25)
Collapsed to 1434 vertices (cost: 25)
Collapsed to 1433 vertices (cost: 25)
Collapsed to 1432 vertices (cost: 25)
Collapsed to 1431 vertices (cost: 25)
Collapsed to 1430 vertices (cost: 25)
Collapsed to 1429 vertices (cost: 25)
Collapsed to 1428 vertices (cost: 28.5714)
Collapsed to 1427 vertices (cost: 6.16575e-05)
Collapsed to 1426 vertices (cost: 33.3333)
Collapsed to 1425 vertices (cost: 33.3333)
Collapsed to 1424 vertices (cost: 33.3333)
Collapsed to 1423 vertices (cost: 4.38599e-05)
Collapsed to 1422 vertices (cost: 7.82117e-05)
Collapsed to 1421 vertices (cost: 33.3333)
Collapsed to 1420 vertices (cost: 2.80879e-05)
Collapsed to 1419 vertices (cost: 33.3333)
Collapsed to 1418 vertices (cost: 33.3333)
Collapsed to 1417 vertices (cost: 33.3333)
Collapsed to 1416 vertices (cost: 33.3333)
Collapsed to 1415 vertices (cost: 1.58123e-05)
Collapsed to 1414 vertices (cost: 33.3333)
Collapsed to 1413 vertices (cost: 1.25438e-05)
Collapsed to 1412 vertices (cost: 3.61679e-05)
Collapsed to 1411 vertices (cost: 33.3333)
Collapsed to 1410 vertices (cost: 33.3333)
Collapsed to 1409 vertices (cost: 33.3333)
Collapsed to 1408 vertices (cost: 5.64273e-05)
Collapsed to 1407 vertices (cost: 0.00016928)
Collapsed to 1406 vertices (cost: 6.47386e-06)
Collapsed to 1405 vertices (cost: 33.3333)
Collapsed to 1404 vertices (cost: 8.4547e-05)
Collapsed to 1403 vertices (cost: 0.000337729)
Collapsed to 1402 vertices (cost: 33.3333)
Collapsed to 1401 vertices (cost: 33.3333)
Collapsed to 1400 vertices (cost: 7.82132e-05)
Collapsed to 1399 vertices (cost: 5.07373e-05)
Collapsed to 1398 vertices (cost: 33.3333)
Collapsed to 1397 vertices (cost: 1.23129e-05)
Collapsed to 1396 vertices (cost: 3.693e-05)
Collapsed to 1395 vertices (cost: 33.3333)
Collapsed to 1394 vertices (cost: 1.58038e-05)
Collapsed to 1393 vertices (cost: 33.3333)
Collapsed to 1392 vertices (cost: 2.48865e-05)
Collapsed to 1391 vertices (cost: 7.84065e-10)
Collapsed to 1390 vertices (cost: 33.3333)
Collapsed to 1389 vertices (cost: 23.0769)
Collapsed to 1388 vertices (cost: 33.3333)
Collapsed to 1387 vertices (cost: 4.39119e-05)
Collapsed to 1386 vertices (cost: 4.39142e-05)
Collapsed to 1385 vertices (cost: 33.3333)
Collapsed to 1384 vertices (cost: 2.81131e-05)
Collapsed to 1383 vertices (cost: 2.19536e-05)
Collapsed to 1382 vertices (cost: 33.3333)
Collapsed to 1381 vertices (cost: 33.3333)
Collapsed to 1380 vertices (cost: 33.3333)
Collapsed to 1379 vertices (cost: 5.30908e-05)
Collapsed to 1378 vertices (cost: 6.89803e-05)
Collapsed to 1377 vertices (cost: 33.3333)
Collapsed to 1376 vertices (cost: 33.3333)
Collapsed to 1375 vertices (cost: 33.3333)
Collapsed to 1374 vertices (cost: 33.3333)
Collapsed to 1373 vertices (cost: 33.3333)
Collapsed to 1372 vertices (cost: 33.3333)
Collapsed to 1371 vertices (cost: 33.3333)
Collapsed to 1370 vertices (cost: 35.7143)
Collapsed to 1369 vertices (cost: 38.3562)
Collapsed to 1368 vertices (cost: 40)
Collapsed to 1367 vertices (cost: 40)
Collapsed to 1366 vertices (cost: 40)
Collapsed to 1365 vertices (cost: 40)
Collapsed to 1364 vertices (cost: 40)
Collapsed to 1363 vertices (cost: 40)
Collapsed to 1362 vertices (cost: 41.1765)
Collapsed to 1361 vertices (cost: 42.8571)
Collapsed to 1360 vertices (cost: 42.8571)
Collapsed to 1359 vertices (cost: 43.3333)
Collapsed to 1358 vertices (cost: 44.4444)
Collapsed to 1357 vertices (cost: 14.9645)
Collapsed to 1356 vertices (cost: 44.4444)
Collapsed to 1355 vertices (cost: 44.4444)
Collapsed to 1354 vertices (cost: 44.4444)
Collapsed to 1353 vertices (cost: 1.97169e-05)
Collapsed to 1352 vertices (cost: 45.4545)
Collapsed to 1351 vertices (cost: 47.8261)
Collapsed to 1350 vertices (cost: 6.37529e-05)
Collapsed to 1349 vertices (cost: 50)
Collapsed to 1348 vertices (cost: 50)
Collapsed to 1347 vertices (cost: 33.3333)
Collapsed to 1346 vertices (cost: 50)
Collapsed to 1345 vertices (cost: 50)
Collapsed to 1344 vertices (cost: 40)
Collapsed to 1343 vertices (cost: 37.5)
Collapsed to 1342 vertices (cost: 25)
Collapsed to 1341 vertices (cost: 3.25808e-06)
Collapsed to 1340 vertices (cost: 49.9999)
Collapsed to 1339 vertices (cost: 50)
Collapsed to 1338 vertices (cost: 50)
Collapsed to 1337 vertices (cost: 50)
Collapsed to 1336 vertices (cost: 33.3333)
Collapsed to 1335 vertices (cost: 44.4444)
Collapsed to 1334 vertices (cost: 50)
Collapsed to 1333 vertices (cost: 50)
Collapsed to 1332 vertices (cost: 50)
Collapsed to 1331 vertices (cost: 50)
Collapsed to 1330 vertices (cost: 50)
Collapsed to 1329 vertices (cost: 33.3333)
Collapsed to 1328 vertices (cost: 50)
Collapsed to 1327 vertices (cost: 25)
Collapsed to 1326 vertices (cost: 50)
Collapsed to 1325 vertices (cost: 50)
Collapsed to 1324 vertices (cost: 30)
Collapsed to 1323 vertices (cost: 50)
Collapsed to 1322 vertices (cost: 17.6471)
Collapsed to 1321 vertices (cost: 1.11707e-05)
Collapsed to 1320 vertices (cost: 9.18734)
Collapsed to 1319 vertices (cost: 3.16676e-05)
Collapsed to 1318 vertices (cost: 7.06688e-05)
Collapsed to 1317 vertices (cost: 3.04298e-05)
Collapsed to 1316 vertices (cost: 3.55695e-05)
Collapsed to 1315 vertices (cost: 50)
Collapsed to 1314 vertices (cost: 50)
Collapsed to 1313 vertices (cost: 50)
Collapsed to 1312 vertices (cost: 50)
Collapsed to 1311 vertices (cost: 25)
Collapsed to 1310 vertices (cost: 33.3333)
Collapsed to 1309 vertices (cost: 4.3894e-05)
Collapsed to 1308 vertices (cost: 50)
Collapsed to 1307 vertices (cost: 50)
Collapsed to 1306 vertices (cost: 50)
Collapsed to 1305 vertices (cost: 25)
Collapsed to 1304 vertices (cost: 50)
Collapsed to 1303 vertices (cost: 25)
Collapsed to 1302 vertices (cost: 50)
Collapsed to 1301 vertices (cost: 25)
Collapsed to 1300 vertices (cost: 50)
Collapsed to 1299 vertices (cost: 50)
Collapsed to 1298 vertices (cost: 37.5)
Collapsed to 1297 vertices (cost: 50)
Collapsed to 1296 vertices (cost: 50)
Collapsed to 1295 vertices (cost: 50)
Collapsed to 1294 vertices (cost: 50)
Collapsed to 1293 vertices (cost: 25)
Collapsed to 1292 vertices (cost: 50)
Collapsed to 1291 vertices (cost: 1.26041e-05)
Collapsed to 1290 vertices (cost: 50)
Collapsed to 1289 vertices (cost: 50)
Collapsed to 1288 vertices (cost: 50)
Collapsed to 1287 vertices (cost: 42.8571)
Collapsed to 1286 vertices (cost: 4.69189e-05)
Collapsed to 1285 vertices (cost: 50)
Collapsed to 1284 vertices (cost: 41.6667)
Collapsed to 1283 vertices (cost: 25.5208)
Collapsed to 1282 vertices (cost: 50)
Collapsed to 1281 vertices (cost: 40)
Collapsed to 1280 vertices (cost: 50)
Collapsed to 1279 vertices (cost: 50)
Collapsed to 1278 vertices (cost: 50)
Collapsed to 1277 vertices (cost: 50)
Collapsed to 1276 vertices (cost: 50)
Collapsed to 1275 vertices (cost: 25)
Collapsed to 1274 vertices (cost: 50)
Collapsed to 1273 vertices (cost: 3.98257e-06)
Collapsed to 1272 vertices (cost: 1.74576e-09)
Collapsed to 1271 vertices (cost: 16.1291)
Collapsed to 1270 vertices (cost: 55.5556)
Collapsed to 1269 vertices (cost: 56)
Collapsed to 1268 vertices (cost: 8.98279e-06)
Collapsed to 1267 vertices (cost: 4.46918e-06)
Collapsed to 1266 vertices (cost: 3.44252e-05)
Collapsed to 1265 vertices (cost: 2.53471e-05)
