Using hybrid two-pass approach
APSC: Starting from 2000 to 198
Collapsed to 1999 vertices (cost: 0)
Collapsed to 1998 vertices (cost: 0)
Collapsed to 1997 vertices (cost: 0)
Collapsed to 1996 vertices (cost: 0)
Collapsed to 1995 vertices (cost: 0)
Collapsed to 1994 vertices (cost: 0)
Collapsed to 1993 vertices (cost: 0)
Collapsed to 1992 vertices (cost: 0)
Collapsed to 1991 vertices (cost: 0)
Collapsed to 1990 vertices (cost: 0)
Collapsed to 1989 vertices (cost: 0)
Collapsed to 1988 vertices (cost: 0)
Collapsed to 1987 vertices (cost: 0)
Collapsed to 1986 vertices (cost: 0)
Collapsed to 1985 vertices (cost: 0)
Collapsed to 1984 vertices (cost: 0)
Collapsed to 1983 vertices (cost: 0)
Collapsed to 1982 vertices (cost: 0)
Collapsed to 1981 vertices (cost: 0)
Collapsed to 1980 vertices (cost: 0)
Collapsed to 1979 vertices (cost: 0)
Collapsed to 1978 vertices (cost: 0)
Collapsed to 1977 vertices (cost: 0)
Collapsed to 1976 vertices (cost: 0)
Collapsed to 1975 vertices (cost: 0)
Collapsed to 1974 vertices (cost: 0)
Collapsed to 1973 vertices (cost: 0)
Collapsed to 1972 vertices (cost: 0)
Collapsed to 1971 vertices (cost: 0)
Collapsed to 1970 vertices (cost: 0)
Collapsed to 1969 vertices (cost: 0)
Collapsed to 1968 vertices (cost: 0)
Collapsed to 1967 vertices (cost: 0)
Collapsed to 1966 vertices (cost: 0)
Collapsed to 1965 vertices (cost: 0)
Collapsed to 1964 vertices (cost: 0)
Collapsed to 1963 vertices (cost: 0)
Collapsed to 1962 vertices (cost: 0)
Collapsed to 1961 vertices (cost: 0)
Collapsed to 1960 vertices (cost: 0)
Collapsed to 1959 vertices (cost: 0)
Collapsed to 1958 vertices (cost: 4.34783)
Collapsed to 1957 vertices (cost: 0.000223299)
Collapsed to 1956 vertices (cost: 8.33333)
Collapsed to 1955 vertices (cost: 9.09088)
Collapsed to 1954 vertices (cost: 12.5)
Collapsed to 1953 vertices (cost: 12.5)
Collapsed to 1952 vertices (cost: 14.2857)
Collapsed to 1951 vertices (cost: 1.04774e-08)
Collapsed to 1950 vertices (cost: 2.5916e-05)
Collapsed to 1949 vertices (cost: 14.2857)
Collapsed to 1948 vertices (cost: 14.2857)
Collapsed to 1947 vertices (cost: 3.22723e-05)
Collapsed to 1946 vertices (cost: 14.2857)
Collapsed to 1945 vertices (cost: 8.33454e-05)
Collapsed to 1944 vertices (cost: 3.40864e-05)
Collapsed to 1943 vertices (cost: 16.6667)
Collapsed to 1942 vertices (cost: 5.64799e-05)
Collapsed to 1941 vertices (cost: 16.6667)
Collapsed to 1940 vertices (cost: 2.8398e-05)
Collapsed to 1939 vertices (cost: 20)
Collapsed to 1938 vertices (cost: 13.9535)
Collapsed to 1937 vertices (cost: 1.09915e-06)
Collapsed to 1936 vertices (cost: 20)
Collapsed to 1935 vertices (cost: 20)
Collapsed to 1934 vertices (cost: 20)
Collapsed to 1933 vertices (cost: 22.2222)
Collapsed to 1932 vertices (cost: 22.2222)
Collapsed to 1931 vertices (cost: 25)
Collapsed to 1930 vertices (cost: 25)
Collapsed to 1929 vertices (cost: 25)
Collapsed to 1928 vertices (cost: 25)
Collapsed to 1927 vertices (cost: 25)
Collapsed to 1926 vertices (cost: 25)
Collapsed to 1925 vertices (cost: 25)
Collapsed to 1924 vertices (cost: 25)
Collapsed to 1923 vertices (cost: 27.2727)
Collapsed to 1922 vertices (cost: 1.03345e-05)
Collapsed to 1921 vertices (cost: 1.03465e-05)
Collapsed to 1920 vertices (cost: 0.000139279)
Collapsed to 1919 vertices (cost: 27.7778)
Collapsed to 1918 vertices (cost: 28.5714)
