Using hybrid two-pass approach
APSC: Starting from 2550 to 198
Collapsed to 2549 vertices (cost: 0)
Collapsed to 2548 vertices (cost: 0)
Collapsed to 2547 vertices (cost: 0)
Collapsed to 2546 vertices (cost: 0)
Collapsed to 2545 vertices (cost: 0)
Collapsed to 2544 vertices (cost: 0)
Collapsed to 2543 vertices (cost: 0)
Collapsed to 2542 vertices (cost: 0)
Collapsed to 2541 vertices (cost: 0)
Collapsed to 2540 vertices (cost: 0)
Collapsed to 2539 vertices (cost: 0)
Collapsed to 2538 vertices (cost: 0)
Collapsed to 2537 vertices (cost: 0)
Collapsed to 2536 vertices (cost: 0)
Collapsed to 2535 vertices (cost: 0)
Collapsed to 2534 vertices (cost: 0)
Collapsed to 2533 vertices (cost: 0)
Collapsed to 2532 vertices (cost: 0)
Collapsed to 2531 vertices (cost: 0)
Collapsed to 2530 vertices (cost: 0)
Collapsed to 2529 vertices (cost: 0)
Collapsed to 2528 vertices (cost: 0)
Collapsed to 2527 vertices (cost: 0)
Collapsed to 2526 vertices (cost: 0)
Collapsed to 2525 vertices (cost: 0)
Collapsed to 2524 vertices (cost: 0)
Collapsed to 2523 vertices (cost: 0)
Collapsed to 2522 vertices (cost: 0)
Collapsed to 2521 vertices (cost: 0)
Collapsed to 2520 vertices (cost: 0)
Collapsed to 2519 vertices (cost: 0)
Collapsed to 2518 vertices (cost: 0)
Collapsed to 2517 vertices (cost: 5)
Collapsed to 2516 vertices (cost: 8.33333)
Collapsed to 2515 vertices (cost: 12.5)
Collapsed to 2514 vertices (cost: 13.7931)
Collapsed to 2513 vertices (cost: 14.2857)
Collapsed to 2512 vertices (cost: 15.3846)
Collapsed to 2511 vertices (cost: 16.6667)
Collapsed to 2510 vertices (cost: 20)
Collapsed to 2509 vertices (cost: 20)
Collapsed to 2508 vertices (cost: 20)
Collapsed to 2507 vertices (cost: 23.5294)
Collapsed to 2506 vertices (cost: 25)
Collapsed to 2505 vertices (cost: 25)
Collapsed to 2504 vertices (cost: 25)
Collapsed to 2503 vertices (cost: 25)
Collapsed to 2502 vertices (cost: 25)
Collapsed to 2501 vertices (cost: 30)
Collapsed to 2500 vertices (cost: 33.3333)
Collapsed to 2499 vertices (cost: 3.25846e-06)
Collapsed to 2498 vertices (cost: 33.3333)
Collapsed to 2497 vertices (cost: 0.000139796)
Collapsed to 2496 vertices (cost: 33.3333)
Collapsed to 2495 vertices (cost: 6.24999)
Collapsed to 2494 vertices (cost: 33.3333)
Collapsed to 2493 vertices (cost: 33.3333)
Collapsed to 2492 vertices (cost: 33.3333)
Collapsed to 2491 vertices (cost: 28.5714)
Collapsed to 2490 vertices (cost: 33.3333)
Collapsed to 2489 vertices (cost: 6.9004e-05)
Collapsed to 2488 vertices (cost: 4.54392e-05)
Collapsed to 2487 vertices (cost: 6.98492e-09)
Collapsed to 2486 vertices (cost: 33.3333)
Collapsed to 2485 vertices (cost: 36.3636)
